name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sree Varalakshmi Jewellery Mart,<,4.3,41 Ratings,"Anekere Beedi Old Mc Road Mandya, Mandya",,08460518894,Silver Jewellery; Diamond Jewellery; Shop In Store,true,false,false,true,true,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.533Z
Malabar Gold & Diamonds,<,4.7,"2,879 Ratings","Road Cauvery Park Road Mandya, Mandya",,,Same Day Delivery; Shop In Store; Delivery Available,true,false,false,true,true,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.533Z
Sreenidhi Gold,<,4.7,366 Ratings,"V.v.road Ashok Nagar Mandya, Mandya",,,Pearl Jewellery; Silver Jewellery,true,false,false,false,true,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.533Z
Sri Nidhi Gold,<,4.8,244 Ratings,"Vidya Nagar Vidya Nagar, Mandya",,,Silver Jewellery; Shop In Store,true,false,false,false,true,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.534Z
Lakshmi Jewellers & Bankers,<,4.8,180 Ratings,"B.m Kikkeri, Mandya",,,Shop In Store; Same Day Delivery,false,false,false,false,true,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.534Z
Bhima & Brother,<,4.0,183 Ratings,"B.M Near Ashok Nagar Mandya, Mandya",,,Silver Jewellery; Pearl Jewellery; Shop In Store,true,false,false,false,true,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.534Z
Ranka Jewellers,<,4.8,99 Ratings,"Petebeedhi Anekere Beedi, Mandya",,,Shop In Store; Same Day Delivery; Delivery Available,true,false,false,false,true,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.535Z
Neha Fashion Jewellery,<,4.8,94 Ratings,"R P Road Subash Nagar Mandya, Mandya",,,Shop In Store; Same Day Delivery,true,false,false,false,true,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.535Z
Sree Krishna Jewellery Mart,<,4.4,92 Ratings,"Anekeere Street Anekere Beedi, Mandya",,,Silver Jewellery; Gold Jewellery; Shop In Store,true,false,false,false,true,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.536Z
Sri Sumathi Jewellers,<,4.4,90 Ratings,"Maddur Main Road Maddur Mandya, Mandya",,,Pearl Jewellery; Silver Jewellery; Same Day Delivery,true,false,false,false,true,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.536Z
Alankar Jewellers,+,3.9,59 Ratings,"Bazaar Street Bazaar Street, Mandya",,,Gold Jewellery; Pearl Jewellery; Same Day Delivery,true,false,false,false,false,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.536Z
Dhanalakshmi Jewellers,+,4.4,42 Ratings,"Malavalli, Mandya",,,Jewellery Showrooms,true,false,false,false,false,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.536Z
Sree Varalakshmi Jewellery Mart,+,4.3,41 Ratings,"Nehru Nagar Mandya, Mandya",,,Shop In Store; Same Day Delivery,true,false,false,false,false,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.537Z
Shubh Jewellers,+,4.1,41 Ratings,"Bazar Street Old MC Road Mandya, Mandya",,,Gold Jewellery; Pearl Jewellery,false,false,false,false,true,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.537Z
Mahalakshmi Jewellers,M,4.0,42 Ratings,"Kanakapura Road Halagur, Mandya",,,Pearl Jewellery; Silver Jewellery; Same Day Delivery,true,false,false,false,false,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.538Z
Hari Jewellers,H,4.1,29 Ratings,"Bazar Street Malavalli, Mandya",,,Silver Jewellery; Same Day Delivery; Shop In Store,true,false,false,false,false,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.538Z
Kamala Jewellers,+,4.6,24 Ratings,"Kote Beedi Maddur Mandya, Mandya",,,Silver Jewellery; Shop In Store; Same Day Delivery,true,false,false,false,true,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.538Z
Chemmanur Jewellers,+,4.1,15 Ratings,"Floor M C Road Mandya, Mandya",,,Platinum Jewellery; Silver Jewellery,true,false,false,false,true,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.539Z
Rajkamala Jewellery Works,R,4.8,12 Ratings,"Mandhya Road Mellahalli, Mandya",,,Jewellery Showrooms; Gold Jewellery Showrooms,true,false,false,false,false,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.539Z
Rangoli Jewellers,+,4.7,12 Ratings,"Road Old MC Road Mandya, Mandya",,,Silver Jewellery,true,false,false,false,true,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.539Z
Mangalore Jewellery Works Shop,M,3.5,16 Ratings,"Old Post Office Road Nagamangala, Mandya",,,Jewellery Showrooms; Pendant Dealers,false,false,false,false,false,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.539Z
Ranka Jewellery,+,4.3,13 Ratings,"Maddur Mandya, Mandya",,,Shop In Store; Same Day Delivery; Delivery Available,true,false,false,false,false,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.539Z
Nakshatra,+,4.3,12 Ratings,"Anekere Road Anekere Beedi, Mandya",,,Silver Jewellery; Gold Jewellery,true,false,false,false,true,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.540Z
Thontadarya Jewellers and Bankers,+,4.6,11 Ratings,"Halagur, Mandya",,,Shop In Store; Same Day Delivery; Delivery Available,true,false,false,false,false,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.540Z
Tara Jewellers,T,4.1,12 Ratings,"Bazar Street Malavalli, Mandya",,,Same Day Delivery; Shop In Store,false,false,false,false,false,Jewellery Showrooms,,Mandya,2025-06-02T16:27:50.540Z
