name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Vmtc Logistics,+,4.4,37 Ratings,"Ansari Bunder, Mangalore",,08511915326,Domestic Courier,true,false,false,true,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.073Z
Karnatak West Bengal All India Transport Company,K,4.6,10 Ratings,"Shantinagar TTMC Shanthinagar, Bangalore",,08147536632,Transporters For Full Truck Load To Tamil Nadu; Transport Agents,true,false,false,false,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.098Z
Radhakrishna Transport,+,4.1,130 Ratings,"3rd Phase Peenya 3rd Stage, Bangalore",,09980546498,Electronic,true,false,false,true,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.099Z
Jaipur Golden Transport,+,3.8,24 Ratings,"C  LANE J.M ROAD Cubbonpet, Bangalore",,09845217514,Pay Ahead,true,false,false,false,false,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.100Z
Kaveri Cargo Movers,+,4.4,96 Ratings,"Bank Colony Chinnavedampatti, Coimbatore",,08401638429,,true,false,false,true,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.131Z
Shree Essar Logistic,S,5.0,2 Ratings,"5th Street Bhavani Main Road, Bhavani",,07041479863,Trucks On Rent; Electronic,true,false,false,false,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.132Z
Jayasri Road Lines,+,4.5,29 Ratings,"PN Road Kumarnanthapuram, Tirupur",,09606403497,24 Hours Tempos; Tempos On Rent For Intracity; Transporters For Sports Equipments,true,false,false,false,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.133Z
Sri Vigneshwara Logistics,+,4.2,52 Ratings,"DDUTTL Yeshwanthpur, Bangalore",,09035041615,Trucks On Rent; Domestic Courier; Electronic,true,false,false,true,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.134Z
Royal Cargo Packers & Movers,+,4.8,172 Ratings,"Near BRTS Bus Stand Vidyagiri, Dharwad",,08401217512,,true,false,false,false,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.134Z
Lata Packers and Movers,L,4.4,20 Ratings,"Mj Nagar, Hospet",,07487906639,All India; Within City,true,false,false,false,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.134Z
Blessingstar Packers And Movers,+,3.9,21 Ratings,"Bhavani Nagar Bijapur City, Bijapur-Karnataka",,07383423106,,true,false,false,true,false,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.135Z
Xpress INDIA,+,4.2,400 Ratings,"Street Industrial Colony Trichy, Trichy",,07383608407,Cargo Service; Trucks On Rent; Bulk Courier,true,false,false,false,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.136Z
KGN Transport & Logistics,+,4.2,32 Ratings,"Gandiguda Village Shadnagar, Mahabubnagar",,09054784995,International Courier; Trucks On Rent; Domestic Courier,true,false,false,false,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.136Z
Golden Heavy Load Transport,+,4.2,78 Ratings,"Athrva Complex Badlapur Ed, Thane",,08401197594,Electronic,true,false,false,false,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.136Z
Maa Laxmi Transport,+,4.3,521 Ratings,"New Link Road Andheri West, Mumbai",,08105375157,Transporters For Pune; Transporters For All India,true,false,false,false,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.137Z
Surya Roadlines,+,4.6,62 Ratings,"Post Chimbli Chakan, Pune",,07411641219,Transporters; Transporters For Mumbai,true,false,false,false,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.137Z
MAHABER TRANSPORT,+,5.0,1 Ratings,"Chauhan Complex Thane East, Thane",,08123202342,Transporters; Transporters For Pune,true,false,false,false,false,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.137Z
Maharaja Kuver Transport,+,4.3,158 Ratings,"Goregaon East, Mumbai",,07383113604,Trucks On Rent,true,false,false,true,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.137Z
Swami Samarth Transport Company,S,4.5,40 Ratings,"Heera Nagar Kalher, Bhiwandi",,08460516431,Trucks On Rent,true,false,false,false,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.138Z
South Indian Transport Company,+,3.7,13 Ratings,"Mankoli Road Bhiwandi City, Bhiwandi",,07041943753,Domestic Courier; Door to Door; Cargo Service,true,false,false,false,false,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.138Z
Vrltransport Services,+,3.6,10 Ratings,"Masjid Bunder, Mumbai",,09980763661,Electronic,true,false,false,false,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.139Z
Shyam Transport,S,4.0,73 Ratings,"Mahavir Nagar Kandivali West, Mumbai",,07405412431,Animal Transportation,true,false,false,true,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.140Z
Diamondsafety Lorry Transport Packers and Movers,+,4.1,49 Ratings,"Bypass Road Khammam Bypass Road, Khammam",,09724438448,Pets Transportation; All India; Within City,true,false,false,false,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.140Z
Om Sai Transport,+,4.2,111 Ratings,"OG Road Bodhle Nagar, Nashik",,09724736012,GPS Tracking Available; Pay Ahead; Door to Door,true,false,false,false,true,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.141Z
Maa Kali Transport Company,+,3.5,2 Ratings,"Office No 23 Bhadrakali, Nashik",,09035245802,Containers On Rent; Transporters,true,false,false,false,false,Transporters,Popular Transporters For Household Goods,Chikkamagaluru,2025-06-02T14:26:50.142Z
